#ID ra dec P r ug gr ri iz gN gAmpl rN rAmpl iN iAmpl zQSO MiQSO cl
57317 1.558341 0.434754 996.5916008 19.98 0.64 0.14 -0.02 0.19 51 0.654 53 0.502 53 0.445 2.52 -25.85 QSO
57324 2.576273 -1.167876 2229.0329026 19.53 0.3 0.01 0.19 -0.04 52 0.278 54 0.201 53 0.179 1.78 -25.833 QSO
57383 1.691607 -0.811153 0.2964143 19.61 0.15 0.1 0.28 0.16 53 0.343 55 0.326 54 0.305 2.0 -25.849 QSO
57676 4.074889 0.17247 2582.0603228 19.09 0.23 0.07 0.27 0.0 53 0.56 53 0.418 52 0.298 1.55 -26.053 QSO
57957 4.460849 0.761976 3320.1648009 19.69 0.25 0.14 0.08 -0.05 58 0.392 61 0.31 61 0.354 1.4 -24.988 QSO
58172 0.910712 0.075571 829.2113871 19.47 0.07 -0.03 0.08 0.15 54 0.432 53 0.388 54 0.36 2.09 -25.834 QSO
61001 2.186245 0.430726 3327.017549 19.04 0.26 0.12 -0.0 0.15 55 0.481 57 0.367 56 0.321 2.12 -26.446 QSO
61062 2.278914 0.547977 1550.8600187 20.01 1.15 0.1 0.03 0.25 51 0.254 55 0.305 53 0.317 2.63 -25.914 QSO
62907 0.162505 -0.301099 817.8664484 18.67 0.17 0.1 -0.04 0.13 55 0.432 54 0.402 54 0.341 2.12 -26.673 QSO
63007 2.163801 -0.893555 2594.4196605 19.23 0.72 0.03 0.03 0.24 64 0.342 61 0.327 61 0.294 2.62 -26.727 QSO
63307 4.528683 -0.759749 2516.1914489 20.0 0.16 0.31 -0.08 0.07 52 0.828 52 0.507 53 0.575 1.05 -23.986 QSO
63404 2.735601 0.467815 0.9969565 19.33 0.02 0.16 0.08 -0.01 54 0.365 55 0.356 54 0.282 1.42 -25.249 QSO
63621 2.730881 0.508966 1573.1211666 19.41 -0.2 0.4 0.01 -0.07 53 0.765 54 0.541 54 0.655 1.23 -24.764 QSO
64539 4.862738 -0.373877 2177.3664581 19.61 0.4 0.48 0.16 0.01 52 0.366 52 0.279 55 0.24 1.27 -24.879 QSO
65639 1.122792 -0.361879 1615.6379731 19.24 0.49 0.01 0.17 -0.01 52 0.97 51 0.763 52 0.535 0.61 -23.216 QSO
65869 1.488515 0.477163 2632.8706319 18.06 -0.04 0.13 0.04 0.36 35 0.715 35 0.534 36 0.492 0.26 -22.211 QSO
66246 4.299604 -0.266861 0.9984294 19.95 0.57 0.36 0.35 0.04 48 0.3 52 0.266 52 0.229 0.62 -22.792 QSO
66260 1.979151 -1.035188 1253.7166342 19.89 0.53 0.29 0.32 0.01 61 0.604 62 0.801 61 0.686 1.58 -25.357 QSO
66311 3.24069 1.100888 3320.164774 18.34 0.12 0.26 -0.02 -0.04 59 0.292 61 0.23 57 0.256 1.06 -25.501 QSO
66533 3.167656 0.409357 2496.3959729 18.66 0.73 0.06 0.06 0.14 60 0.221 62 0.215 59 0.192 2.62 -27.41 QSO
66552 4.049419 -1.088461 3239.234974 19.7 0.11 -0.0 0.09 0.22 46 0.735 52 0.633 52 0.551 2.09 -25.954 QSO
67239 1.689241 0.103883 1565.6301291 19.67 0.38 0.41 -0.02 -0.02 50 0.983 54 0.786 53 0.822 1.03 -24.08 QSO
68390 0.132789 1.051464 2589.7685951 19.38 0.37 0.38 0.03 0.04 114 0.457 113 0.407 111 0.363 1.09 -24.394 QSO
68411 2.87667 0.964417 2875.6474113 19.85 0.22 0.38 0.38 0.22 52 2.244 53 2.252 53 2.218 1.49 -24.598 QSO
68557 4.912905 -1.171274 3321.033896 19.06 0.0 0.32 0.0 -0.09 53 0.553 53 0.395 54 0.431 1.26 -24.903 QSO
68572 4.677848 0.845033 2923.5079966 19.57 0.01 0.13 0.15 0.21 48 0.497 49 0.471 50 0.402 1.99 -25.999 QSO
68983 1.820781 -0.682346 1917.0981647 19.53 0.33 0.61 0.18 0.06 54 0.612 56 0.477 56 0.461 1.26 -25.047 QSO
69026 3.394998 0.590062 1580.684241 20.22 -0.07 0.01 0.07 0.23 53 0.575 52 0.536 53 0.477 2.08 -25.415 QSO
69061 2.610449 0.258896 2560.9023405 19.7 0.62 0.01 -0.08 0.15 55 0.646 60 0.577 61 0.541 2.4 -25.978 QSO
69091 1.377784 1.042595 1777.2017929 19.76 0.5 -0.14 0.17 0.08 46 0.957 50 1.021 53 0.837 0.63 -23.409 QSO
69726 1.241292 0.426274 2104.1808976 20.14 0.24 0.01 0.25 -0.07 57 0.632 61 0.554 61 0.444 1.7 -24.861 QSO
69766 2.36503 1.182136 3336.933345 19.14 0.15 -0.03 0.19 -0.04 60 0.409 63 0.304 59 0.244 1.67 -26.089 QSO
69839 0.178753 0.92765 1565.630109 18.12 0.16 0.25 0.01 0.12 56 0.426 56 0.382 57 0.392 0.95 -25.763 QSO
70861 0.981208 0.126811 2170.1803705 19.52 0.13 0.29 -0.12 0.06 54 0.591 55 0.457 55 0.439 1.03 -24.292 QSO
71013 4.801652 0.055465 3321.033926 19.97 -0.03 0.37 -0.04 -0.0 53 0.655 52 0.486 52 0.475 1.37 -24.706 QSO
71115 1.932441 -0.409018 0.998513 18.19 0.18 0.07 0.12 -0.1 54 0.309 54 0.232 56 0.413 1.54 -26.895 QSO
71209 1.97596 -1.081637 912.0175214 19.81 0.43 0.23 0.38 0.31 49 0.467 51 0.409 52 0.334 0.92 -24.019 QSO
71555 1.899959 -1.015714 2889.4136008 19.83 0.38 0.35 0.12 0.03 62 0.354 61 0.224 62 0.262 1.28 -24.606 QSO
72173 4.84399 -0.154173 2544.465244 19.13 0.17 0.05 0.29 0.07 59 0.437 60 0.375 58 0.302 1.7 -26.133 QSO
72452 4.380297 -0.816465 2702.3207159 18.99 0.0 0.17 0.03 -0.13 53 1.116 51 0.844 53 0.866 1.36 -25.141 QSO
72465 4.28439 -0.645678 2998.0153954 20.18 -0.0 -0.08 0.07 0.2 53 0.797 52 0.77 52 0.588 2.1 -25.488 QSO
72931 3.052796 -0.019349 2823.5578754 19.81 0.13 0.09 0.3 -0.05 61 1.0 62 0.871 61 0.652 1.68 -25.867 QSO
72937 0.509728 -0.446784 924.9918708 19.99 0.43 0.2 0.05 0.21 57 0.408 61 0.344 61 0.342 2.21 -25.564 QSO
73692 0.542148 -0.958588 2152.1589617 19.97 -0.06 0.02 0.13 0.12 61 0.607 63 0.575 64 0.595 1.96 -25.247 QSO
74173 1.509021 -0.899463 2180.570308 19.44 -0.01 0.11 0.46 -0.06 60 0.468 64 0.377 63 0.27 1.86 -26.165 QSO
74302 2.763261 0.990899 470.0247439 19.77 0.27 -0.0 0.19 0.15 54 0.398 55 0.372 56 0.298 0.49 -22.329 QSO
74740 2.592271 -0.616992 3336.933355 18.48 3.34 0.24 0.0 0.07 64 0.364 63 0.404 62 0.391 3.15 -28.192 QSO
75080 4.518028 1.008724 2206.5928502 19.58 0.02 0.23 0.12 -0.08 50 0.261 51 0.249 50 0.258 1.34 -24.822 QSO
75987 1.634615 0.118743 3321.033941 19.97 0.57 0.28 -0.0 0.18 46 0.401 48 0.464 47 0.396 0.92 -23.497 QSO
76601 0.39796 -0.701892 3287.8234986 19.49 2.68 0.86 0.09 0.03 53 0.354 55 0.283 55 0.268 3.58 -27.364 QSO
77219 1.791717 0.891418 3034.9140362 16.78 0.23 0.26 -0.08 0.68 56 0.733 56 0.532 57 0.503 0.32 -23.62 QSO
77441 3.238557 1.257605 849.2391252 18.74 0.35 -0.14 0.18 0.08 59 0.993 61 0.852 57 0.724 0.5 -23.515 QSO
77601 2.68269 -0.29158 2267.4643739 19.81 0.02 0.29 0.12 -0.04 55 0.467 55 0.349 55 0.416 1.3 -24.487 QSO
78206 0.326659 -1.039401 2512.2134605 19.69 0.11 0.08 0.17 0.17 62 0.713 65 0.68 64 0.616 1.97 -25.95 QSO
78621 0.813651 0.039193 2251.9339628 20.01 0.22 0.19 0.28 -0.05 53 0.529 55 0.435 55 0.339 1.53 -25.019 QSO
78713 0.587977 0.363734 2839.7387432 18.85 1.17 0.22 0.05 -0.03 61 0.244 62 0.171 62 0.208 3.06 -27.652 QSO
79006 3.584077 1.203551 3270.8554442 19.61 0.29 -0.06 0.2 0.22 58 0.579 60 0.52 58 0.473 2.17 -25.865 QSO
